automobile_id,car_model,engine_name,brand_name,length_mm,width_mm,height_mm,kg,search_text,rank
645,2025 BMW 4-Series Convertible,440i xDrive MHEV 8AT AWD (374 HP),BMW,4770.0,1852.0,1394.0,1890.0,2025 BMW 4-Series Convertible 440i xDrive MHEV 8AT AWD (374 HP),2
646,2025 BMW 4 Series Coupe,M440d xDrive MHEV 8AT AWD (340 HP),BMW,4770.0,1852.0,1392.0,1820.0,2025 BMW 4 Series Coupe M440d xDrive MHEV 8AT AWD (340 HP),2
647,2025 BMW M4 Coupe,Competition 3.0L xDrive 8AT AWD (530 HP),BMW,4801.0,1887.0,1397.0,1775.0,2025 BMW M4 Coupe Competition 3.0L xDrive 8AT AWD (530 HP),2
648,2025 BMW M4 Convertible,Competition 3.0L M xDrive  8AT AWD (530 HP),BMW,4801.0,1887.0,1400.0,1925.0,2025 BMW M4 Convertible Competition 3.0L M xDrive  8AT AWD (530 HP),2
649,2025 BMW Z4,M40i 8AT RWD (340 HP),BMW,4323.0,1864.0,1303.0,1550.0,2025 BMW Z4 M40i 8AT RWD (340 HP),1
650,2025 BMW 5-Series Touring,520d MHEV 8AT RWD (197 HP),BMW,5060.0,1900.0,1514.0,,2025 BMW 5-Series Touring 520d MHEV 8AT RWD (197 HP),
651,2025 BMW i5 Touring (G61),M60 xDrive 1A AWD 81.2 kWh (601 HP),BMW,5060.0,1900.0,1514.0,2350.0,2025 BMW i5 Touring (G61) M60 xDrive 1A AWD 81.2 kWh (601 HP),2
652,2025 BMW i4,eDrive35 RWD (286 HP),BMW,,,,,2025 BMW i4 eDrive35 RWD (286 HP),
653,2025 BMW 4 Series Gran Coupe,420i 8AT RWD (184 HP),BMW,,,,,2025 BMW 4 Series Gran Coupe 420i 8AT RWD (184 HP),
654,2025 BMW M4 CS,3.0L 8AT RWD (550 HP),BMW,4801.0,1918.0,1400.0,1760.0,2025 BMW M4 CS 3.0L 8AT RWD (550 HP),2
655,2025 BMW 1 Series,M135 xDrive 7AT AWD (300 HP),BMW,4361.0,1801.0,1458.0,,2025 BMW 1 Series M135 xDrive 7AT AWD (300 HP),
656,2025 BMW M3 Competition Touring,Competition M xDrive 8AT AWD (530 HP),BMW,4801.0,1902.0,1445.0,1865.0,2025 BMW M3 Competition Touring Competition M xDrive 8AT AWD (530 HP),2
657,2025 BMW M3 Sedan,3.0L 6MT RWD (480 HP),BMW,4793.0,1902.0,1438.0,,2025 BMW M3 Sedan 3.0L 6MT RWD (480 HP),
658,2025 BMW 3 Series Touring,318i 8AT RWD (156 HP),BMW,4714.0,1826.0,1448.0,,2025 BMW 3 Series Touring 318i 8AT RWD (156 HP),
659,2025 BMW 3 Series Sedan,318i 8AT RWD (156 HP),BMW,4714.0,1826.0,1445.0,,2025 BMW 3 Series Sedan 318i 8AT RWD (156 HP),
660,2025 BMW M2,3.0L  6MT RWD (480 HP),BMW,4580.0,1887.0,1402.0,,2025 BMW M2 3.0L  6MT RWD (480 HP),
661,22025 BMW X3 (G45),20 xDrive 8AT AWD (208 HP),BMW,4755.0,1920.0,1661.0,,22025 BMW X3 (G45) 20 xDrive 8AT AWD (208 HP),
662,2025 BMW M5,4.4L xDrive V8 8AT AWD (727 HP),BMW,5095.0,1971.0,1509.0,,2025 BMW M5 4.4L xDrive V8 8AT AWD (727 HP),
663,2025 BMW M5 Touring,4.4L xDrive 8AT AWD (727 HP),BMW,5095.0,1971.0,1516.0,,2025 BMW M5 Touring 4.4L xDrive 8AT AWD (727 HP),
664,2025 BMW 2-Series Gran Coupe,228 xDrive 7AT AWD (241 HP),BMW,4547.0,1801.0,1445.0,1603.0,2025 BMW 2-Series Gran Coupe 228 xDrive 7AT AWD (241 HP),2
665,2024 BMW M3 CS,3.0L 8AT AWD (550 HP),BMW,4796.0,1918.0,1438.0,1840.0,2024 BMW M3 CS 3.0L 8AT AWD (550 HP),2
666,2024 BMW X5,xDrive50e 8AT AWD (490 HP),BMW,4935.0,2004.0,1755.0,2420.0,2024 BMW X5 xDrive50e 8AT AWD (490 HP),2
667,2024 BMW X6,M60i xDrive 8AT AWD (530 HP),BMW,4961.0,2004.0,1694.0,2315.0,2024 BMW X6 M60i xDrive 8AT AWD (530 HP),2
668,2024 BMW X5 M Competition ,Competition 4.4L V8 xDrive 48V MHEV AWD 8AT (625 HP),BMW,4948.0,2014.0,1763.0,2400.0,2024 BMW X5 M Competition  Competition 4.4L V8 xDrive 48V MHEV AWD 8AT (625 HP),2
669,2024 BMW X6 M Competition,Competition 4.4L V8 xDrive 48V MHEV AWD 8AT (625 HP),BMW,4948.0,2019.0,1694.0,2370.0,2024 BMW X6 M Competition Competition 4.4L V8 xDrive 48V MHEV AWD 8AT (625 HP),2
670,2024 BMW 5 Series,520d xDrive 8AT AWD (197 HP),BMW,559.0,1900.0,1514.0,1905.0,2024 BMW 5 Series 520d xDrive 8AT AWD (197 HP),2
671,2024 BMW i5,M60 xDrive 1A AWD 81.2 kWh (601 HP),BMW,5060.0,1900.0,1514.0,2305.0,2024 BMW i5 M60 xDrive 1A AWD 81.2 kWh (601 HP),2
672,2024 BMW iX2,xDrive30 66.5 KWh AWD (313 HP),BMW,4554.0,1844.0,1560.0,2095.0,2024 BMW iX2 xDrive30 66.5 KWh AWD (313 HP),2
673,2024 BMW X2,M35i xDrive 7AT AWD (300 HP),BMW,4567.0,1844.0,1575.0,1770.0,2024 BMW X2 M35i xDrive 7AT AWD (300 HP),2
674,BMW iX M60 2022-Present, 111.5 KWh (619 HP),BMW,,,,,BMW iX M60 2022-Present  111.5 KWh (619 HP),
675,BMW 8 Series Coupe  2022-Present,840i xDrive (333 HP),BMW,,,,,BMW 8 Series Coupe  2022-Present 840i xDrive (333 HP),
676,BMW 8 Series Convertible 2022-Present,840i xDrive,BMW,,,,,BMW 8 Series Convertible 2022-Present 840i xDrive,
677,BMW M8 Convertible  2022-Present,V8 xDrive AWD 8AT (625 HP),BMW,4867.0,1908.0,1354.0,2025.0,BMW M8 Convertible  2022-Present V8 xDrive AWD 8AT (625 HP),2
678,BMW M8 Coupe  2022-Present,Competition 4.4L V8 xDrive AWD 8AT (625 HP),BMW,4877.0,1908.0,1361.0,1900.0,BMW M8 Coupe  2022-Present Competition 4.4L V8 xDrive AWD 8AT (625 HP),2
679,BMW M8 Gran Coupe  2022-Present,V8 AWD 8AT (625 HP),BMW,5098.0,1943.0,1420.0,1995.0,BMW M8 Gran Coupe  2022-Present V8 AWD 8AT (625 HP),2
680,BMW 7 Series 2022-Present,760i xDrivre60 AWD 107 KWh,BMW,5390.0,1951.0,1544.0,2640.0,BMW 7 Series 2022-Present 760i xDrivre60 AWD 107 KWh,3
681,BMW X7 2022-Present,40d xDrive 8AT AWD (352 HP),BMW,5161.0,1999.0,1819.0,,BMW X7 2022-Present 40d xDrive 8AT AWD (352 HP),
682,2023 BMW 3 Series Sedan (G20) LCI,330e xDrive 8AT AWD (292 HP),BMW,4714.0,1826.0,1440.0,1825.0,2023 BMW 3 Series Sedan (G20) LCI 330e xDrive 8AT AWD (292 HP),2
683,2023 BMW 3 Series Touring,320e xDrive 8AT AWD (204 HP),BMW,4714.0,1826.0,1440.0,1880.0,2023 BMW 3 Series Touring 320e xDrive 8AT AWD (204 HP),2
684,BMW iX1 2022-Present,30 xDrive 64.7 kWh AWD (313 Hp),BMW,4501.0,1844.0,1615.0,2010.0,BMW iX1 2022-Present 30 xDrive 64.7 kWh AWD (313 Hp),2
685,2023 BMW M3 Touring,Competition M xDrive 8AT AWD (510 HP),BMW,4793.0,1902.0,1435.0,1865.0,2023 BMW M3 Touring Competition M xDrive 8AT AWD (510 HP),2
686,BMW X1 2022-Present,xDrive23d 7AT AWD (211 HP),BMW,4501.0,1844.0,1641.0,1690.0,BMW X1 2022-Present xDrive23d 7AT AWD (211 HP),2
687,2023 BMW M2,3.0L 8AT RWD (460 HP),BMW,4580.0,1887.0,1402.0,1725.0,2023 BMW M2 3.0L 8AT RWD (460 HP),2
688,2023 BMW M4 CSL,3.0L 8AT RWD (550 HP),BMW,4793.0,1920.0,1387.0,1700.0,2023 BMW M4 CSL 3.0L 8AT RWD (550 HP),2
689,2023 BMW i7,xDrive 60,BMW,5390.0,1951.0,1544.0,,2023 BMW i7 xDrive 60,
690,2023 BMW XM,4.4L xDrive V8 PHEV 8AT AWD (653 HP),BMW,5110.0,2004.0,1755.0,2710.0,2023 BMW XM 4.4L xDrive V8 PHEV 8AT AWD (653 HP),3
691,BMW iX 2021-Present,M60 AWD 111.5 KWh (619 HP),BMW,4953.0,1966.0,1694.0,2584.0,BMW iX 2021-Present M60 AWD 111.5 KWh (619 HP),3
692,BMW M5 CS (F90),4.4L V8 8AT (635 HP),BMW,5001.0,1902.0,1468.0,190.0,BMW M5 CS (F90) 4.4L V8 8AT (635 HP),1
693,2022 BMW i4,M50 84 KWh (544 HP),BMW,4783.0,1852.0,1448.0,2215.0,2022 BMW i4 M50 84 KWh (544 HP),2
694,2021 BMW M4,3.0L 8AT AWD (510 HP),BMW,4793.0,1887.0,1394.0,1995.0,2021 BMW M4 3.0L 8AT AWD (510 HP),2
695,2022 BMW X3,M40d 48V 8AT AWD (340 HP),BMW,4714.0,1897.0,1676.0,2080.0,2022 BMW X3 M40d 48V 8AT AWD (340 HP),2
696,BMW X4 2021-Present,M40d 48V 8AT AWD (340 HP),BMW,4750.0,1938.0,1621.0,2095.0,BMW X4 2021-Present M40d 48V 8AT AWD (340 HP),2
697,BMW X3 M (F97) 2021-Present,M Competition 3.0L xDrive 8AT AWD (510 HP),BMW,4717.0,1897.0,1669.0,2085.0,BMW X3 M (F97) 2021-Present M Competition 3.0L xDrive 8AT AWD (510 HP),2
698,BMW X4 M (F98) 2021-Present,M Competition 3.0L xDrive 8AT AWD (510 HP),BMW,4755.0,1928.0,1621.0,2085.0,BMW X4 M (F98) 2021-Present M Competition 3.0L xDrive 8AT AWD (510 HP),2
699,2022 BMW 4 Series Gran Coupe,M440i xDrive 48V 8AT (374 HP),BMW,4783.0,1852.0,1443.0,1900.0,2022 BMW 4 Series Gran Coupe M440i xDrive 48V 8AT (374 HP),2
700,BMW 2 Series Coupe (G42) 2021-Present,M240i xDrive 8AT AWD (374 HP),BMW,4557.0,1839.0,1405.0,1765.0,BMW 2 Series Coupe (G42) 2021-Present M240i xDrive 8AT AWD (374 HP),2
701,BMW 2 Series Active Tourer 2021-Present,218d 7AT (150 HP),BMW,4387.0,1824.0,1575.0,1620.0,BMW 2 Series Active Tourer 2021-Present 218d 7AT (150 HP),2
702,2021 BMW 5 Series,M550i xDrive 8AT AWD (530 HP),BMW,4963.0,1867.0,1496.0,1990.0,2021 BMW 5 Series M550i xDrive 8AT AWD (530 HP),2
703,2021 BMW 5-Series Touring,530d xDrive 8AT AWD (286 HP),BMW,4963.0,1867.0,1499.0,2000.0,2021 BMW 5-Series Touring 530d xDrive 8AT AWD (286 HP),2
704,BMW 6 Series Gran Turismo (G32 LCI) 2020-Present,640d xDrive 8AT AWD (340 HP),BMW,5090.0,1902.0,1539.0,2085.0,BMW 6 Series Gran Turismo (G32 LCI) 2020-Present 640d xDrive 8AT AWD (340 HP),2
705,2021 BMW 4-Series Coupe,M 440i xDrive 8AT AWD (374 HP),BMW,4768.0,1852.0,1382.0,1815.0,2021 BMW 4-Series Coupe M 440i xDrive 8AT AWD (374 HP),2
706,2020 BMW M5 Competition,4.4L V8 8AT (625 HP),BMW,4983.0,1902.0,1468.0,1970.0,2020 BMW M5 Competition 4.4L V8 8AT (625 HP),2
