automobile_id,car_model,brand_name,length_mm,width_mm,height_mm,kg,rank
645,BMW 320d,BMW,4770.0,1852.0,1394.0,1890.0,2
646,BMW 320i,BMW,4770.0,1852.0,1392.0,1820.0,2
649,2025 BMW Z4,BMW,4323.0,1864.0,1303.0,1550.0,1
651,BMW 330i,BMW,5060.0,1900.0,1514.0,2350.0,2
654,2025 BMW M4 CS,BMW,4801.0,1918.0,1400.0,1760.0,2
665,2024 BMW M3,BMW,4796.0,1918.0,1438.0,1840.0,2
666,2024 BMW X5,BMW,4935.0,2004.0,1755.0,2420.0,2
667,2024 BMW X6,BMW,4961.0,2004.0,1694.0,2315.0,2
668,2024 BMW X5 M,BMW,4948.0,2014.0,1763.0,2400.0,2
670,BMW 530e,BMW,559.0,1900.0,1514.0,1905.0,2
671,2024 BMW i5,BMW,5060.0,1900.0,1514.0,2305.0,2
672,2024 BMW iX2,BMW,4554.0,1844.0,1560.0,2095.0,2
673,2024 BMW X2,BMW,4567.0,1844.0,1575.0,1770.0,2
682,BMW 335d,BMW,4714.0,1826.0,1440.0,1825.0,2
684,BMW 335i,BMW,4501.0,1844.0,1615.0,2010.0,2
686,BMW iX3,BMW,4501.0,1844.0,1641.0,1690.0,2
687,2023 BMW M2,BMW,4580.0,1887.0,1402.0,1725.0,2
689,2023 BMW i7,BMW,5390.0,1951.0,1544.0,,
690,2023 BMW XM,BMW,5110.0,2004.0,1755.0,2710.0,3
692,BMW M5 CS,BMW,5001.0,1902.0,1468.0,190.0,1
693,2022 BMW i4,BMW,4783.0,1852.0,1448.0,2215.0,2
694,2021 BMW M4,BMW,4793.0,1887.0,1394.0,1995.0,2
695,2022 BMW X3,BMW,4714.0,1897.0,1676.0,2080.0,2
696,BMW X4,BMW,4750.0,1938.0,1621.0,2095.0,2
697,BMW 530i,BMW,4717.0,1897.0,1669.0,2085.0,2
698,BMW 540i,BMW,4755.0,1928.0,1621.0,2085.0,2
710,BMW M5,BMW,4770.0,1852.0,1394.0,1965.0,2
716,2019 BMW M8,BMW,4867.0,1908.0,1361.0,1960.0,2
720,2020 BMW X6,BMW,4935.0,2004.0,1697.0,2335.0,2
722,2019 BMW M2 CS,BMW,4460.0,1872.0,1415.0,1650.0,2
723,2020 BMW X5 M,BMW,4938.0,2014.0,1748.0,2310.0,2
724,2020 BMW X6 M,BMW,4940.0,2019.0,1692.0,2295.0,2
734,BMW M850i,BMW,4460.0,1854.0,1410.0,1650.0,2
736,2019 BMW X5,BMW,4923.0,2004.0,1745.0,2350.0,2
738,2019 BMW Z4,BMW,4323.0,1864.0,1303.0,1480.0,1
744,2018 BMW M4 CS,BMW,4671.0,1869.0,1389.0,1580.0,1
750,BMW X3 (G01) 2017-2021,BMW,4709.0,1890.0,1676.0,1895.0,2
752,BMW i3 2017-Present,BMW,4011.0,1775.0,1598.0,1365.0,1
753,BMW i3s 2017-Present,BMW,4006.0,1791.0,1590.0,1385.0,1
754,BMW M3 CS (F80) 2017-2018,BMW,4671.0,1877.0,1430.0,1660.0,2
757,2016 BMW X1,BMW,4440.0,1821.0,1598.0,1575.0,1
761,2015 BMW M4 GTS,BMW,4689.0,1869.0,1379.0,1510.0,1
768,BMW M2 (F87) 2015-2018,BMW,4468.0,1854.0,1410.0,1570.0,1
769,BMW X5 (F15) 2014-2018,BMW,4887.0,1938.0,1763.0,2355.0,2
810,2010 BMW X5 (E70),BMW,4856.0,1933.0,1775.0,2355.0,2
